date,Sum_total_cases,Sum_new_cases,Sum_new_deaths
2019-12-31,27,27,0
2020-01-01,27,0,0
2020-01-02,27,0,0
2020-01-03,44,17,0
2020-01-04,44,0,0
2020-01-05,59,15,0
2020-01-06,59,0,0
2020-01-07,59,0,0
2020-01-08,59,0,0
2020-01-09,59,0,0
2020-01-10,59,0,0
2020-01-11,59,0,1
2020-01-12,59,0,0
2020-01-13,60,1,0
2020-01-14,60,0,0
2020-01-15,61,1,1
2020-01-16,61,0,0
2020-01-17,66,5,0
2020-01-18,83,17,0
2020-01-19,219,136,1
2020-01-20,239,20,0
2020-01-21,392,153,3
2020-01-22,534,142,11
2020-01-23,631,97,0
2020-01-24,897,266,9
2020-01-25,1350,453,15
2020-01-26,2023,673,15
2020-01-27,2820,797,25
2020-01-28,4587,1767,25
2020-01-29,6067,1480,26
2020-01-30,7823,1756,38
2020-01-31,9826,2003,43
2020-02-01,11946,2120,46
2020-02-02,14554,2608,46
2020-02-03,17372,2818,57
2020-02-04,20615,3243,65
2020-02-05,24512,3897,66
2020-02-06,28253,3741,72
2020-02-07,31430,3177,73
2020-02-08,34869,3439,86
2020-02-09,37488,2619,89
2020-02-10,40470,2982,97
2020-02-11,42970,2500,108
2020-02-12,45003,2033,97
2020-02-13,60154,15151,255
2020-02-14,64322,4168,13
2020-02-15,66882,2560,144
2020-02-16,68910,2028,142
2020-02-17,70977,2067,106
2020-02-18,72873,1896,98
2020-02-19,74649,1776,139
2020-02-20,75102,453,114
2020-02-21,76085,983,119
2020-02-22,77170,1085,112
2020-02-23,78178,1008,104
2020-02-24,78648,470,155
2020-02-25,79441,793,79
2020-02-26,80304,863,63
2020-02-27,81396,1092,38
2020-02-28,82660,1264,57
2020-02-29,84498,1838,62
2020-03-01,86321,1823,58
2020-03-02,88363,2042,67
2020-03-03,89925,1797,72
2020-03-04,92174,2212,84
2020-03-05,94382,2239,80
2020-03-06,97350,2856,103
2020-03-07,101207,3961,103
2020-03-08,104872,3691,97
2020-03-09,108727,3871,229
2020-03-10,113136,4546,208
2020-03-11,117776,4378,269
2020-03-12,124622,6887,326
2020-03-13,132659,8356,351
2020-03-14,142328,9402,438
2020-03-15,153971,11519,354
2020-03-16,166686,12644,745
2020-03-17,179378,12676,596
2020-03-18,194132,14742,789
2020-03-19,212445,18313,951
2020-03-20,241672,29223,1041
2020-03-21,270409,28742,1366
2020-03-22,304528,34119,1700
2020-03-23,337527,32999,1654
2020-03-24,377261,39727,1760
2020-03-25,416175,38919,2202
2020-03-26,467391,51209,2428
2020-03-27,527133,59742,2681
2020-03-28,591098,63965,3319
2020-03-29,656217,65119,3459
2020-03-30,714719,58502,3124
2020-03-31,776418,61791,3700
2020-04-01,850772,74267,4622
2020-04-02,927794,77017,4986
2020-04-03,1005380,77586,4693
2020-04-04,1087140,81760,6603
2020-04-05,1173464,86479,6093
2020-04-06,1244900,71281,4655
2020-04-07,1316290,71390,5137
2020-04-08,1391192,74902,7411
2020-04-09,1476122,84930,6340
2020-04-10,1563161,87039,7223
2020-04-11,1652510,89349,7049
2020-04-12,1734217,81707,6104
2020-04-13,1806607,72390,5321
2020-04-14,1872569,65962,5339
2020-04-15,1947815,75246,7113
2020-04-16,2029234,81419,10355
2020-04-17,2113573,84339,8507
2020-04-18,2196897,83324,8263
